project;filename;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;211;166;0;166;45;78.67
binarySearchTree2;binarySearchTree2.py;214;156;0;156;58;72.90
binarySearchTree3;binarySearchTree3.py;291;214;0;214;77;73.54
binarySearchTree4;binarySearchTree4.py;18;18;0;18;0;100.00
identifier1;identifier1.py;140;116;1;117;23;83.57
linkedList1;linkedList1.py;146;103;0;103;43;70.55
linkedList2;linkedList2.py;44;38;0;38;6;86.36
linkedList3;linkedList3.py;54;27;3;30;24;55.56
linkedList4;linkedList4.py;72;59;0;59;13;81.94
linkedList5;linkedList5.py;74;69;0;69;5;93.24
queue1;queue1.py;14;14;0;14;0;100.00
queue2;queue2.py;62;53;0;53;9;85.48
queue3;queue3.py;91;71;0;71;20;78.02
queue4;queue4.py;112;90;0;90;22;80.36
queue5;queue5.py;16;13;0;13;3;81.25
sort1;sort1.py;185;50;9;59;126;31.89
stack1;stack1.py;114;39;0;39;75;34.21
stack2;stack2.py;19;18;0;18;1;94.74
stack3;stack3.py;70;37;8;45;25;64.29
stack4;stack4.py;72;61;0;61;11;84.72
stack5;stack5.py;5;4;0;4;1;80.00
