project;filename;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;211;139;0;139;72;65.88
binarySearchTree2;binarySearchTree2.py;214;146;0;146;68;68.22
binarySearchTree3;binarySearchTree3.py;291;192;0;192;99;65.98
binarySearchTree4;binarySearchTree4.py;18;18;0;18;0;100.00
identifier1;identifier1.py;140;107;1;108;32;77.14
linkedList1;linkedList1.py;146;104;0;104;42;71.23
linkedList2;linkedList2.py;44;38;0;38;6;86.36
linkedList3;linkedList3.py;54;31;7;38;16;70.37
linkedList4;linkedList4.py;72;63;0;63;9;87.50
linkedList5;linkedList5.py;74;69;0;69;5;93.24
queue1;queue1.py;14;14;0;14;0;100.00
queue2;queue2.py;62;53;0;53;9;85.48
queue3;queue3.py;91;71;0;71;20;78.02
queue4;queue4.py;112;86;0;86;26;76.79
queue5;queue5.py;16;13;0;13;3;81.25
sort1;sort1.py;185;48;9;57;128;30.81
stack1;stack1.py;114;40;0;40;74;35.09
stack2;stack2.py;19;18;0;18;1;94.74
stack3;stack3.py;70;36;8;44;26;62.86
stack4;stack4.py;72;59;0;59;13;81.94
stack5;stack5.py;5;4;0;4;1;80.00
