project;filename;line coverage;branch coverage
binarySearchTree1;binarySearchTree1.py;59.43;37.10
binarySearchTree2;binarySearchTree2.py;58.52;50.00
binarySearchTree3;binarySearchTree3.py;63.33;44.83
binarySearchTree4;binarySearchTree4.py;81.25;66.67
identifier1;identifier1.py;96.30;85.71
linkedList1;linkedList1.py;72.07;71.05
linkedList2;linkedList2.py;90.38;77.27
linkedList3;linkedList3.py;89.83;83.33
linkedList4;linkedList4.py;96.00;94.44
linkedList5;linkedList5.py;87.06;80.00
queue1;queue1.py;100.00;100.00
queue2;queue2.py;90.00;75.00
queue3;queue3.py;92.86;88.89
queue4;queue4.py;85.57;80.56
queue5;queue5.py;100.00;100.00
sort1;sort1.py;77.59;73.08
stack1;stack1.py;80.30;70.83
stack2;stack2.py;100.00;100.00
stack3;stack3.py;91.89;83.33
stack4;stack4.py;96.49;94.44
stack5;stack5.py;100.00;100.00
