project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;23;23;0;100.00
binarySearchTree2;binarySearchTree2.py;25;20;5;80.00
binarySearchTree3;binarySearchTree3.py;30;22;8;73.33
binarySearchTree4;binarySearchTree4.py;18;17;1;94.44
identifier1;identifier1.py;36;31;5;86.11
linkedList1;linkedList1.py;21;20;1;95.24
linkedList2;linkedList2.py;29;23;6;79.31
linkedList3;linkedList3.py;33;13;20;39.39
linkedList4;linkedList4.py;33;28;5;84.85
linkedList5;linkedList5.py;25;24;1;96.00
queue1;queue1.py;20;13;7;65.00
queue2;queue2.py;21;19;2;90.48
queue3;queue3.py;34;20;14;58.82
queue4;queue4.py;23;22;1;95.65
queue5;queue5.py;16;15;1;93.75
sort1;sort1.py;37;12;25;32.43
stack1;stack1.py;24;14;10;58.33
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;22;15;7;68.18
stack4;stack4.py;22;14;8;63.64
stack5;stack5.py;18;9;9;50.00
