project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;31;28;3;90.32
binarySearchTree2;binarySearchTree2.py;33;18;15;54.55
binarySearchTree3;binarySearchTree3.py;24;19;5;79.17
binarySearchTree4;binarySearchTree4.py;17;16;1;94.12
identifier1;identifier1.py;24;20;4;83.33
linkedList1;linkedList1.py;23;20;3;86.96
linkedList2;linkedList2.py;34;34;0;100.00
linkedList3;linkedList3.py;25;21;4;84.00
linkedList4;linkedList4.py;29;21;8;72.41
linkedList5;linkedList5.py;22;17;5;77.27
queue1;queue1.py;19;12;7;63.16
queue2;queue2.py;24;20;4;83.33
queue3;queue3.py;37;27;10;72.97
queue4;queue4.py;22;20;2;90.91
queue5;queue5.py;16;10;6;62.50
sort1;sort1.py;37;17;20;45.95
stack1;stack1.py;30;15;15;50.00
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;27;24;3;88.89
stack4;stack4.py;21;12;9;57.14
stack5;stack5.py;18;9;9;50.00
