project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;34;27;7;79.41
binarySearchTree2;binarySearchTree2.py;30;22;8;73.33
binarySearchTree3;binarySearchTree3.py;27;19;8;70.37
binarySearchTree4;binarySearchTree4.py;17;17;0;100.00
identifier1;identifier1.py;31;29;2;93.55
linkedList1;linkedList1.py;20;17;3;85.00
linkedList2;linkedList2.py;28;26;2;92.86
linkedList3;linkedList3.py;33;19;14;57.58
linkedList4;linkedList4.py;19;15;4;78.95
linkedList5;linkedList5.py;19;19;0;100.00
queue1;queue1.py;20;13;7;65.00
queue2;queue2.py;29;24;5;82.76
queue3;queue3.py;35;28;7;80.00
queue4;queue4.py;18;11;7;61.11
queue5;queue5.py;21;18;3;85.71
sort1;sort1.py;44;22;22;50.00
stack1;stack1.py;33;17;16;51.52
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;25;13;12;52.00
stack4;stack4.py;25;11;14;44.00
stack5;stack5.py;17;8;9;47.06
