project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;28;26;2;92.86
binarySearchTree2;binarySearchTree2.py;20;10;10;50.00
binarySearchTree3;binarySearchTree3.py;24;14;10;58.33
binarySearchTree4;binarySearchTree4.py;21;21;0;100.00
identifier1;identifier1.py;31;26;5;83.87
linkedList1;linkedList1.py;26;20;6;76.92
linkedList2;linkedList2.py;24;21;3;87.50
linkedList3;linkedList3.py;27;18;9;66.67
linkedList4;linkedList4.py;30;22;8;73.33
linkedList5;linkedList5.py;23;22;1;95.65
queue1;queue1.py;18;11;7;61.11
queue2;queue2.py;36;32;4;88.89
queue3;queue3.py;28;22;6;78.57
queue4;queue4.py;27;21;6;77.78
queue5;queue5.py;21;20;1;95.24
sort1;sort1.py;39;16;23;41.03
stack1;stack1.py;22;13;9;59.09
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;29;22;7;75.86
stack4;stack4.py;32;24;8;75.00
stack5;stack5.py;17;8;9;47.06
