project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;41;38;3;92.68
binarySearchTree2;binarySearchTree2.py;27;13;14;48.15
binarySearchTree3;binarySearchTree3.py;20;11;9;55.00
binarySearchTree4;binarySearchTree4.py;22;21;1;95.45
identifier1;identifier1.py;35;29;6;82.86
linkedList1;linkedList1.py;23;21;2;91.30
linkedList2;linkedList2.py;27;22;5;81.48
linkedList3;linkedList3.py;30;13;17;43.33
linkedList4;linkedList4.py;30;20;10;66.67
linkedList5;linkedList5.py;17;12;5;70.59
queue1;queue1.py;21;13;8;61.90
queue2;queue2.py;25;23;2;92.00
queue3;queue3.py;35;26;9;74.29
queue4;queue4.py;25;17;8;68.00
queue5;queue5.py;21;19;2;90.48
sort1;sort1.py;24;11;13;45.83
stack1;stack1.py;33;14;19;42.42
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;25;15;10;60.00
stack4;stack4.py;25;17;8;68.00
stack5;stack5.py;17;10;7;58.82
