project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;38;31;7;81.58
binarySearchTree2;binarySearchTree2.py;29;22;7;75.86
binarySearchTree3;binarySearchTree3.py;18;11;7;61.11
binarySearchTree4;binarySearchTree4.py;18;16;2;88.89
identifier1;identifier1.py;33;30;3;90.91
linkedList1;linkedList1.py;27;20;7;74.07
linkedList2;linkedList2.py;29;25;4;86.21
linkedList3;linkedList3.py;27;17;10;62.96
linkedList4;linkedList4.py;30;27;3;90.00
linkedList5;linkedList5.py;19;17;2;89.47
queue1;queue1.py;20;18;2;90.00
queue2;queue2.py;23;17;6;73.91
queue3;queue3.py;28;18;10;64.29
queue4;queue4.py;22;17;5;77.27
queue5;queue5.py;20;14;6;70.00
sort1;sort1.py;30;10;20;33.33
stack1;stack1.py;32;11;21;34.38
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;31;22;9;70.97
stack4;stack4.py;25;19;6;76.00
stack5;stack5.py;17;8;9;47.06
