project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;39;33;54.17
binarySearchTree2;binarySearchTree2.py;99;59;40;59.60
binarySearchTree3;binarySearchTree3.py;179;111;68;62.01
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;44;17;72.13
linkedList1;linkedList1.py;95;60;35;63.16
linkedList2;linkedList2.py;44;35;9;79.55
linkedList3;linkedList3.py;50;27;23;54.00
linkedList4;linkedList4.py;46;31;15;67.39
linkedList5;linkedList5.py;54;33;21;61.11
queue1;queue1.py;27;16;11;59.26
queue2;queue2.py;73;51;22;69.86
queue3;queue3.py;95;79;16;83.16
queue4;queue4.py;74;56;18;75.68
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;36;25;59.02
stack1;stack1.py;68;37;31;54.41
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;33;24;57.89
stack4;stack4.py;47;31;16;65.96
stack5;stack5.py;9;5;4;55.56
