project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;57;15;79.17
binarySearchTree2;binarySearchTree2.py;99;56;43;56.57
binarySearchTree3;binarySearchTree3.py;179;112;67;62.57
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;41;20;67.21
linkedList1;linkedList1.py;95;72;23;75.79
linkedList2;linkedList2.py;44;36;8;81.82
linkedList3;linkedList3.py;50;29;21;58.00
linkedList4;linkedList4.py;46;34;12;73.91
linkedList5;linkedList5.py;54;40;14;74.07
queue1;queue1.py;27;21;6;77.78
queue2;queue2.py;73;61;12;83.56
queue3;queue3.py;95;75;20;78.95
queue4;queue4.py;74;54;20;72.97
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;34;27;55.74
stack1;stack1.py;68;41;27;60.29
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;35;22;61.40
stack4;stack4.py;47;27;20;57.45
stack5;stack5.py;9;5;4;55.56
