project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;49;23;68.06
binarySearchTree2;binarySearchTree2.py;99;55;44;55.56
binarySearchTree3;binarySearchTree3.py;179;106;73;59.22
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;38;23;62.30
linkedList1;linkedList1.py;95;69;26;72.63
linkedList2;linkedList2.py;44;37;7;84.09
linkedList3;linkedList3.py;50;29;21;58.00
linkedList4;linkedList4.py;46;33;13;71.74
linkedList5;linkedList5.py;54;41;13;75.93
queue1;queue1.py;27;21;6;77.78
queue2;queue2.py;73;61;12;83.56
queue3;queue3.py;95;72;23;75.79
queue4;queue4.py;74;49;25;66.22
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;27;34;44.26
stack1;stack1.py;68;38;30;55.88
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;32;25;56.14
stack4;stack4.py;47;28;19;59.57
stack5;stack5.py;9;5;4;55.56
