project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;62;10;86.11
binarySearchTree2;binarySearchTree2.py;99;56;43;56.57
binarySearchTree3;binarySearchTree3.py;179;105;74;58.66
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;41;20;67.21
linkedList1;linkedList1.py;95;65;30;68.42
linkedList2;linkedList2.py;44;34;10;77.27
linkedList3;linkedList3.py;50;27;23;54.00
linkedList4;linkedList4.py;46;31;15;67.39
linkedList5;linkedList5.py;54;45;9;83.33
queue1;queue1.py;27;16;11;59.26
queue2;queue2.py;73;57;16;78.08
queue3;queue3.py;95;71;24;74.74
queue4;queue4.py;74;49;25;66.22
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;31;30;50.82
stack1;stack1.py;68;32;36;47.06
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;37;20;64.91
stack4;stack4.py;47;27;20;57.45
stack5;stack5.py;9;5;4;55.56
