project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;38;34;52.78
binarySearchTree2;binarySearchTree2.py;99;53;46;53.54
binarySearchTree3;binarySearchTree3.py;179;71;108;39.66
binarySearchTree4;binarySearchTree4.py;17;13;4;76.47
identifier1;identifier1.py;61;28;33;45.90
linkedList1;linkedList1.py;95;51;44;53.68
linkedList2;linkedList2.py;44;32;12;72.73
linkedList3;linkedList3.py;50;37;13;74.00
linkedList4;linkedList4.py;46;33;13;71.74
linkedList5;linkedList5.py;54;35;19;64.81
queue1;queue1.py;27;20;7;74.07
queue2;queue2.py;73;47;26;64.38
queue3;queue3.py;95;62;33;65.26
queue4;queue4.py;74;43;31;58.11
queue5;queue5.py;20;16;4;80.00
sort1;sort1.py;61;27;34;44.26
stack1;stack1.py;68;32;36;47.06
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;39;18;68.42
stack4;stack4.py;47;35;12;74.47
stack5;stack5.py;9;4;5;44.44
