project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;49;23;68.06
binarySearchTree2;binarySearchTree2.py;99;55;44;55.56
binarySearchTree3;binarySearchTree3.py;179;103;76;57.54
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;29;32;47.54
linkedList1;linkedList1.py;95;68;27;71.58
linkedList2;linkedList2.py;44;37;7;84.09
linkedList3;linkedList3.py;50;32;18;64.00
linkedList4;linkedList4.py;46;33;13;71.74
linkedList5;linkedList5.py;54;44;10;81.48
queue1;queue1.py;27;20;7;74.07
queue2;queue2.py;73;57;16;78.08
queue3;queue3.py;95;71;24;74.74
queue4;queue4.py;74;44;30;59.46
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;28;33;45.90
stack1;stack1.py;68;37;31;54.41
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;35;22;61.40
stack4;stack4.py;47;19;28;40.43
stack5;stack5.py;9;5;4;55.56
