project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;148;37;9;45;81.17
binarySearchTree2;binarySearchTree2.py;248;114;48;0;86;65.32
binarySearchTree3;binarySearchTree3.py;511;292;79;4;136;73.39
binarySearchTree4;binarySearchTree4.py;53;35;14;0;4;92.45
identifier1;identifier1.py;100;80;4;0;16;84.00
linkedList1;linkedList1.py;221;122;44;3;52;76.47
linkedList2;linkedList2.py;106;70;18;4;14;86.79
linkedList3;linkedList3.py;121;63;24;2;32;73.55
linkedList4;linkedList4.py;110;72;22;4;12;89.09
linkedList5;linkedList5.py;136;97;18;8;13;90.44
queue1;queue1.py;67;30;23;0;14;79.10
queue2;queue2.py;186;117;35;6;28;84.95
queue3;queue3.py;222;153;45;1;23;89.64
queue4;queue4.py;198;125;36;2;35;82.32
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;31;21;1;62;46.09
stack1;stack1.py;129;68;16;0;45;65.12
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;91;32;2;30;80.65
stack4;stack4.py;122;75;24;4;19;84.43
stack5;stack5.py;35;19;11;0;5;85.71
