project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;146;37;9;47;80.33
binarySearchTree2;binarySearchTree2.py;248;110;51;0;87;64.92
binarySearchTree3;binarySearchTree3.py;511;285;77;5;144;71.82
binarySearchTree4;binarySearchTree4.py;53;35;14;0;4;92.45
identifier1;identifier1.py;100;73;4;0;23;77.00
linkedList1;linkedList1.py;221;117;44;3;57;74.21
linkedList2;linkedList2.py;106;70;18;4;14;86.79
linkedList3;linkedList3.py;121;63;24;2;32;73.55
linkedList4;linkedList4.py;110;69;22;4;15;86.36
linkedList5;linkedList5.py;136;92;17;9;18;86.76
queue1;queue1.py;67;30;23;0;14;79.10
queue2;queue2.py;186;113;35;6;32;82.80
queue3;queue3.py;222;151;44;1;26;88.29
queue4;queue4.py;198;117;36;2;43;78.28
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;27;20;1;67;41.74
stack1;stack1.py;129;68;16;0;45;65.12
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;91;32;2;30;80.65
stack4;stack4.py;122;75;24;4;19;84.43
stack5;stack5.py;35;19;11;0;5;85.71
