project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;128;38;6;67;71.97
binarySearchTree2;binarySearchTree2.py;248;111;41;0;96;61.29
binarySearchTree3;binarySearchTree3.py;511;272;79;4;156;69.47
binarySearchTree4;binarySearchTree4.py;53;35;13;0;5;90.57
identifier1;identifier1.py;100;70;4;0;26;74.00
linkedList1;linkedList1.py;221;127;43;3;48;78.28
linkedList2;linkedList2.py;106;71;19;4;12;88.68
linkedList3;linkedList3.py;121;70;24;2;25;79.34
linkedList4;linkedList4.py;110;74;22;4;10;90.91
linkedList5;linkedList5.py;136;95;18;8;15;88.97
queue1;queue1.py;67;36;23;0;8;88.06
queue2;queue2.py;186;120;35;5;26;86.02
queue3;queue3.py;222;151;44;1;26;88.29
queue4;queue4.py;198;119;37;1;41;79.29
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;23;19;1;72;37.39
stack1;stack1.py;129;72;16;0;41;68.22
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;79;33;7;36;76.77
stack4;stack4.py;122;74;25;4;19;84.43
stack5;stack5.py;35;21;11;0;3;91.43
