project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;122;36;3;78;67.36
binarySearchTree2;binarySearchTree2.py;248;99;40;0;109;56.05
binarySearchTree3;binarySearchTree3.py;511;256;77;4;174;65.95
binarySearchTree4;binarySearchTree4.py;53;34;14;0;5;90.57
identifier1;identifier1.py;100;66;4;0;30;70.00
linkedList1;linkedList1.py;221;117;41;3;60;72.85
linkedList2;linkedList2.py;106;72;18;3;13;87.74
linkedList3;linkedList3.py;121;51;24;2;44;63.64
linkedList4;linkedList4.py;110;69;22;4;15;86.36
linkedList5;linkedList5.py;136;92;18;8;18;86.76
queue1;queue1.py;67;35;23;0;9;86.57
queue2;queue2.py;186;116;35;5;30;83.87
queue3;queue3.py;222;135;44;1;42;81.08
queue4;queue4.py;198;114;35;1;48;75.76
queue5;queue5.py;48;28;14;0;6;87.50
sort1;sort1.py;115;23;15;1;76;33.91
stack1;stack1.py;129;71;16;0;42;67.44
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;73;33;2;47;69.68
stack4;stack4.py;122;74;25;4;19;84.43
stack5;stack5.py;35;10;12;0;13;62.86
