project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;127;38;6;68;71.55
binarySearchTree2;binarySearchTree2.py;248;109;41;0;98;60.48
binarySearchTree3;binarySearchTree3.py;511;267;79;3;162;68.30
binarySearchTree4;binarySearchTree4.py;53;35;13;0;5;90.57
identifier1;identifier1.py;100;42;4;0;54;46.00
linkedList1;linkedList1.py;221;119;43;3;56;74.66
linkedList2;linkedList2.py;106;71;19;4;12;88.68
linkedList3;linkedList3.py;121;70;24;2;25;79.34
linkedList4;linkedList4.py;110;74;22;4;10;90.91
linkedList5;linkedList5.py;136;91;18;9;18;86.76
queue1;queue1.py;67;33;23;0;11;83.58
queue2;queue2.py;186;114;36;6;30;83.87
queue3;queue3.py;222;150;44;1;27;87.84
queue4;queue4.py;198;115;37;1;45;77.27
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;23;18;1;73;36.52
stack1;stack1.py;129;70;16;0;43;66.67
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;79;33;7;36;76.77
stack4;stack4.py;122;64;25;4;29;76.23
stack5;stack5.py;35;21;11;0;3;91.43
