project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;108.85;103.45;5.80
binarySearchTree2;binarySearchTree2.py;103.26;98.24;4.94
binarySearchTree3;binarySearchTree3.py;209.36;201.16;9.63
binarySearchTree4;binarySearchTree4.py;6.37;5.94;0.39
identifier1;identifier1.py;78.48;35.60;2.65
linkedList1;linkedList1.py;95.82;91.87;4.17
linkedList2;linkedList2.py;17.32;16.48;0.85
linkedList3;linkedList3.py;299.42;17.02;1.16
linkedList4;linkedList4.py;25.72;24.18;1.52
linkedList5;linkedList5.py;68.03;65.87;2.35
queue1;queue1.py;4.54;4.24;0.28
queue2;queue2.py;33.79;32.28;1.61
queue3;queue3.py;41.97;39.77;2.17
queue4;queue4.py;49.04;46.47;2.59
queue5;queue5.py;4.83;4.42;0.37
sort1;sort1.py;451.36;85.25;5.83
stack1;stack1.py;36.70;34.18;2.55
stack2;stack2.py;4.97;4.55;0.38
stack3;stack3.py;346.19;23.36;1.62
stack4;stack4.py;25.76;24.10;1.64
stack5;stack5.py;1.67;1.54;0.12
