project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;68.94;64.12;5.06
binarySearchTree2;binarySearchTree2.py;73.98;69.11;4.61
binarySearchTree3;binarySearchTree3.py;117.21;110.30;7.98
binarySearchTree4;binarySearchTree4.py;4.89;4.48;0.37
identifier1;identifier1.py;74.62;31.64;2.69
linkedList1;linkedList1.py;46.63;43.38;3.41
linkedList2;linkedList2.py;12.37;11.33;0.98
linkedList3;linkedList3.py;135.64;13.48;1.23
linkedList4;linkedList4.py;19.32;17.68;1.58
linkedList5;linkedList5.py;24.27;22.64;1.75
queue1;queue1.py;3.75;3.44;0.28
queue2;queue2.py;19.96;18.51;1.53
queue3;queue3.py;27.37;25.35;1.95
queue4;queue4.py;33.05;30.66;2.36
queue5;queue5.py;4.03;3.64;0.35
sort1;sort1.py;445.82;79.74;5.69
stack1;stack1.py;29.53;27.42;1.99
stack2;stack2.py;4.59;4.16;0.38
stack3;stack3.py;342.54;19.62;1.63
stack4;stack4.py;19.94;18.44;1.47
stack5;stack5.py;1.60;1.45;0.14
