project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;70.34;65.47;5.07
binarySearchTree2;binarySearchTree2.py;74.04;69.21;4.69
binarySearchTree3;binarySearchTree3.py;118.58;111.26;8.15
binarySearchTree4;binarySearchTree4.py;5.08;4.61;0.42
identifier1;identifier1.py;76.61;33.70;2.64
linkedList1;linkedList1.py;48.07;44.63;3.53
linkedList2;linkedList2.py;12.60;11.68;0.89
linkedList3;linkedList3.py;296.81;14.31;1.12
linkedList4;linkedList4.py;19.97;18.22;1.65
linkedList5;linkedList5.py;24.92;23.11;1.91
queue1;queue1.py;3.98;3.61;0.34
queue2;queue2.py;20.20;18.80;1.44
queue3;queue3.py;27.44;25.38;1.95
queue4;queue4.py;34.56;32.00;2.49
queue5;queue5.py;4.29;3.86;0.38
sort1;sort1.py;451.79;85.59;5.83
stack1;stack1.py;32.64;30.22;2.35
stack2;stack2.py;4.96;4.51;0.40
stack3;stack3.py;353.66;22.81;3.44
stack4;stack4.py;22.36;20.76;1.46
stack5;stack5.py;1.88;1.76;0.11
