project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;77.31;71.79;5.50
binarySearchTree2;binarySearchTree2.py;80.07;74.43;4.80
binarySearchTree3;binarySearchTree3.py;130.47;122.33;8.42
binarySearchTree4;binarySearchTree4.py;5.72;5.22;0.45
identifier1;identifier1.py;82.57;39.25;2.88
linkedList1;linkedList1.py;56.98;53.28;3.73
linkedList2;linkedList2.py;14.23;13.05;1.11
linkedList3;linkedList3.py;260.50;17.94;1.42
linkedList4;linkedList4.py;22.94;21.37;1.55
linkedList5;linkedList5.py;27.78;25.99;1.98
queue1;queue1.py;4.51;4.16;0.33
queue2;queue2.py;22.46;20.94;1.64
queue3;queue3.py;32.08;29.82;2.32
queue4;queue4.py;38.90;36.29;2.71
queue5;queue5.py;4.66;4.26;0.38
sort1;sort1.py;455.58;88.99;5.86
stack1;stack1.py;39.25;36.55;2.65
stack2;stack2.py;6.29;5.81;0.43
stack3;stack3.py;366.63;22.50;2.77
stack4;stack4.py;23.14;21.60;1.52
stack5;stack5.py;1.84;1.70;0.13
