project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;68.14;63.76;4.55
binarySearchTree2;binarySearchTree2.py;72.03;67.31;4.46
binarySearchTree3;binarySearchTree3.py;111.39;104.90;7.08
binarySearchTree4;binarySearchTree4.py;5.02;4.61;0.38
identifier1;identifier1.py;76.07;33.23;2.63
linkedList1;linkedList1.py;45.63;42.46;3.18
linkedList2;linkedList2.py;12.13;11.22;0.88
linkedList3;linkedList3.py;95.63;14.54;0.96
linkedList4;linkedList4.py;19.56;18.04;1.49
linkedList5;linkedList5.py;23.47;21.98;1.55
queue1;queue1.py;3.97;3.64;0.31
queue2;queue2.py;19.31;17.97;1.34
queue3;queue3.py;27.22;25.24;1.92
queue4;queue4.py;33.19;30.92;2.21
queue5;queue5.py;4.31;3.97;0.32
sort1;sort1.py;444.14;78.21;5.29
stack1;stack1.py;31.29;28.74;2.22
stack2;stack2.py;5.01;4.53;0.42
stack3;stack3.py;342.45;20.23;1.58
stack4;stack4.py;20.37;18.88;1.32
stack5;stack5.py;1.74;1.55;0.17
