project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;66.14;61.39;4.40
binarySearchTree2;binarySearchTree2.py;68.48;63.81;4.08
binarySearchTree3;binarySearchTree3.py;109.63;102.09;7.13
binarySearchTree4;binarySearchTree4.py;5.00;4.63;0.35
identifier1;identifier1.py;76.95;33.42;2.79
linkedList1;linkedList1.py;45.41;41.95;3.00
linkedList2;linkedList2.py;12.38;11.22;0.95
linkedList3;linkedList3.py;256.16;14.38;1.19
linkedList4;linkedList4.py;19.25;17.63;1.38
linkedList5;linkedList5.py;22.96;21.11;1.61
queue1;queue1.py;4.09;3.72;0.29
queue2;queue2.py;18.92;17.39;1.30
queue3;queue3.py;26.51;24.56;1.84
queue4;queue4.py;32.91;30.29;2.21
queue5;queue5.py;4.48;4.04;0.37
sort1;sort1.py;446.85;80.89;5.15
stack1;stack1.py;31.45;29.17;2.14
stack2;stack2.py;5.04;4.69;0.31
stack3;stack3.py;348.51;20.37;2.72
stack4;stack4.py;19.55;18.10;1.35
stack5;stack5.py;1.76;1.65;0.10
