project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;87.11;81.97;5.53
binarySearchTree2;binarySearchTree2.py;99.19;92.64;6.05
binarySearchTree3;binarySearchTree3.py;113.06;106.23;7.51
binarySearchTree4;binarySearchTree4.py;5.04;4.66;0.33
identifier1;identifier1.py;75.47;32.63;2.60
linkedList1;linkedList1.py;46.16;42.93;3.30
linkedList2;linkedList2.py;12.24;11.31;0.89
linkedList3;linkedList3.py;136.27;14.24;1.18
linkedList4;linkedList4.py;19.63;18.17;1.39
linkedList5;linkedList5.py;23.26;21.49;1.80
queue1;queue1.py;3.89;3.52;0.34
queue2;queue2.py;19.37;17.94;1.45
queue3;queue3.py;26.92;25.00;1.86
queue4;queue4.py;33.27;30.89;2.33
queue5;queue5.py;4.21;3.83;0.35
sort1;sort1.py;444.75;78.78;5.42
stack1;stack1.py;31.00;28.73;2.13
stack2;stack2.py;4.81;4.40;0.36
stack3;stack3.py;357.80;20.89;2.37
stack4;stack4.py;20.37;18.86;1.47
stack5;stack5.py;1.73;1.58;0.14
