project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;66.97;62.39;4.71
binarySearchTree2;binarySearchTree2.py;76.32;71.42;4.85
binarySearchTree3;binarySearchTree3.py;129.79;122.09;8.39
binarySearchTree4;binarySearchTree4.py;5.41;4.94;0.45
identifier1;identifier1.py;78.13;35.24;2.70
linkedList1;linkedList1.py;42.72;39.56;3.10
linkedList2;linkedList2.py;11.49;10.62;0.80
linkedList3;linkedList3.py;295.60;13.08;1.09
linkedList4;linkedList4.py;18.29;16.79;1.26
linkedList5;linkedList5.py;21.20;19.47;1.61
queue1;queue1.py;3.76;3.49;0.25
queue2;queue2.py;17.68;16.32;1.22
queue3;queue3.py;25.06;23.18;1.68
queue4;queue4.py;30.85;28.33;2.18
queue5;queue5.py;4.32;3.82;0.27
sort1;sort1.py;444.62;78.08;5.21
stack1;stack1.py;30.87;27.54;2.24
stack2;stack2.py;4.58;4.19;0.34
stack3;stack3.py;340.86;18.94;1.35
stack4;stack4.py;20.08;18.48;1.49
stack5;stack5.py;1.58;1.44;0.14
