project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;533.45;518.42;44.71
binarySearchTree2;binarySearchTree2.py;652.64;636.58;41.76
binarySearchTree3;binarySearchTree3.py;625.14;604.63;52.46
binarySearchTree4;binarySearchTree4.py;248.07;241.88;7.85
identifier1;identifier1.py;1137.22;1071.18;64.29
linkedList1;linkedList1.py;5348.46;5140.22;104.45
linkedList2;linkedList2.py;113.24;108.75;9.60
linkedList3;linkedList3.py;728.93;464.34;21.15
linkedList4;linkedList4.py;1474.56;1444.92;37.44
linkedList5;linkedList5.py;2765.78;2718.47;55.88
queue1;queue1.py;39.16;37.95;1.36
queue2;queue2.py;2030.78;1994.15;43.77
queue3;queue3.py;1273.45;1245.31;38.20
queue4;queue4.py;2349.44;2303.53;58.97
queue5;queue5.py;95.38;92.01;4.98
sort1;sort1.py;634.97;550.20;45.10
stack1;stack1.py;4050.18;3980.84;82.83
stack2;stack2.py;14.62;13.93;0.71
stack3;stack3.py;806.65;544.68;25.91
stack4;stack4.py;1408.57;1381.52;35.65
stack5;stack5.py;2.14;1.97;0.17
