project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;14.20;13.37;0.87
binarySearchTree2;binarySearchTree2.py;10.48;9.78;0.73
binarySearchTree3;binarySearchTree3.py;15.63;14.66;1.04
binarySearchTree4;binarySearchTree4.py;7.63;7.13;0.52
identifier1;identifier1.py;8.05;7.51;0.56
linkedList1;linkedList1.py;10.94;10.33;0.64
linkedList2;linkedList2.py;8.65;8.10;0.58
linkedList3;linkedList3.py;8.27;7.63;0.67
linkedList4;linkedList4.py;7.99;7.46;0.56
linkedList5;linkedList5.py;11.43;10.75;0.73
queue1;queue1.py;6.79;6.32;0.48
queue2;queue2.py;11.06;10.34;0.77
queue3;queue3.py;8.27;7.67;0.63
queue4;queue4.py;11.30;10.51;0.83
queue5;queue5.py;6.88;6.36;0.54
sort1;sort1.py;8.73;8.16;0.60
stack1;stack1.py;6.95;6.49;0.48
stack2;stack2.py;4.17;3.79;0.39
stack3;stack3.py;8.54;7.95;0.62
stack4;stack4.py;11.78;10.98;0.84
stack5;stack5.py;4.89;4.47;0.42
