project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;13.40;12.61;0.81
binarySearchTree2;binarySearchTree2.py;9.49;8.45;0.66
binarySearchTree3;binarySearchTree3.py;14.52;13.65;0.96
binarySearchTree4;binarySearchTree4.py;5.94;5.50;0.45
identifier1;identifier1.py;10.53;9.74;0.81
linkedList1;linkedList1.py;11.26;10.58;0.72
linkedList2;linkedList2.py;9.63;9.00;0.66
linkedList3;linkedList3.py;9.62;9.01;0.63
linkedList4;linkedList4.py;10.24;9.47;0.81
linkedList5;linkedList5.py;18.67;17.49;1.24
queue1;queue1.py;5.33;4.89;0.45
queue2;queue2.py;10.48;9.92;0.60
queue3;queue3.py;10.96;10.30;0.70
queue4;queue4.py;8.88;8.29;0.61
queue5;queue5.py;4.63;4.27;0.36
sort1;sort1.py;9.71;8.97;0.76
stack1;stack1.py;7.00;6.44;0.58
stack2;stack2.py;3.45;3.12;0.33
stack3;stack3.py;7.87;7.36;0.53
stack4;stack4.py;6.86;6.35;0.54
stack5;stack5.py;4.51;4.19;0.32
