project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;14.97;13.99;1.01
binarySearchTree2;binarySearchTree2.py;12.07;11.32;0.77
binarySearchTree3;binarySearchTree3.py;12.69;11.86;0.88
binarySearchTree4;binarySearchTree4.py;5.54;5.18;0.37
identifier1;identifier1.py;6.94;6.34;0.62
linkedList1;linkedList1.py;10.88;10.24;0.67
linkedList2;linkedList2.py;10.85;10.16;0.72
linkedList3;linkedList3.py;7.55;6.98;0.58
linkedList4;linkedList4.py;9.15;8.49;0.69
linkedList5;linkedList5.py;10.66;10.06;0.63
queue1;queue1.py;5.65;5.18;0.48
queue2;queue2.py;12.19;11.48;0.75
queue3;queue3.py;12.44;11.57;0.91
queue4;queue4.py;8.39;7.74;0.67
queue5;queue5.py;4.52;4.13;0.39
sort1;sort1.py;10.97;10.21;0.78
stack1;stack1.py;8.78;8.13;0.67
stack2;stack2.py;3.70;3.37;0.34
stack3;stack3.py;9.80;9.15;0.67
stack4;stack4.py;6.66;6.19;0.49
stack5;stack5.py;4.75;4.35;0.40
