project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;101.54;33.31;2.00
binarySearchTree2;binarySearchTree2.py;62.63;20.24;1.21
binarySearchTree3;binarySearchTree3.py;82.62;26.56;1.62
binarySearchTree4;binarySearchTree4.py;36.20;11.39;0.72
identifier1;identifier1.py;63.15;20.40;1.34
linkedList1;linkedList1.py;60.03;20.46;1.10
linkedList2;linkedList2.py;58.14;18.66;1.25
linkedList3;linkedList3.py;56.64;19.33;1.34
linkedList4;linkedList4.py;48.99;13.63;0.89
linkedList5;linkedList5.py;118.35;37.48;1.78
queue1;queue1.py;40.39;12.07;0.97
queue2;queue2.py;90.96;27.97;1.67
queue3;queue3.py;85.64;25.28;1.53
queue4;queue4.py;42.48;13.90;1.00
queue5;queue5.py;41.01;12.48;0.88
sort1;sort1.py;88.75;25.73;1.74
stack1;stack1.py;65.81;19.59;1.21
stack2;stack2.py;26.90;7.61;0.62
stack3;stack3.py;59.49;18.43;1.11
stack4;stack4.py;52.84;16.14;1.07
stack5;stack5.py;31.30;9.68;0.62
