project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;12.12;11.27;0.85
binarySearchTree2;binarySearchTree2.py;6.89;6.41;0.50
binarySearchTree3;binarySearchTree3.py;10.59;9.88;0.75
binarySearchTree4;binarySearchTree4.py;6.49;6.08;0.42
identifier1;identifier1.py;9.05;8.35;0.71
linkedList1;linkedList1.py;10.97;10.30;0.70
linkedList2;linkedList2.py;7.73;7.07;0.67
linkedList3;linkedList3.py;8.62;7.93;0.69
linkedList4;linkedList4.py;8.40;7.79;0.62
linkedList5;linkedList5.py;11.96;11.20;0.79
queue1;queue1.py;5.24;4.87;0.37
queue2;queue2.py;14.95;13.86;1.12
queue3;queue3.py;9.49;8.80;0.70
queue4;queue4.py;9.04;8.29;0.76
queue5;queue5.py;6.06;5.57;0.49
sort1;sort1.py;11.11;10.37;0.76
stack1;stack1.py;6.63;6.10;0.55
stack2;stack2.py;3.79;3.52;0.27
stack3;stack3.py;8.63;7.93;0.71
stack4;stack4.py;9.47;8.77;0.71
stack5;stack5.py;4.50;4.09;0.41
