project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;56.53;23.46;1.27
binarySearchTree2;binarySearchTree2.py;36.62;14.77;0.88
binarySearchTree3;binarySearchTree3.py;51.64;21.05;1.18
binarySearchTree4;binarySearchTree4.py;28.82;11.97;0.83
identifier1;identifier1.py;43.81;17.78;1.22
linkedList1;linkedList1.py;43.91;17.93;1.07
linkedList2;linkedList2.py;37.17;15.31;0.94
linkedList3;linkedList3.py;46.65;18.88;1.08
linkedList4;linkedList4.py;41.40;17.03;1.05
linkedList5;linkedList5.py;40.97;16.64;1.00
queue1;queue1.py;26.81;10.54;0.75
queue2;queue2.py;38.37;16.04;0.98
queue3;queue3.py;44.52;18.26;1.22
queue4;queue4.py;32.50;12.85;0.94
queue5;queue5.py;28.54;11.25;0.78
sort1;sort1.py;46.65;19.04;1.26
stack1;stack1.py;36.55;14.90;0.98
stack2;stack2.py;17.41;7.02;0.47
stack3;stack3.py;45.54;18.73;1.16
stack4;stack4.py;34.80;14.06;0.93
stack5;stack5.py;22.16;8.89;0.59
