project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;16.12;15.11;1.05
binarySearchTree2;binarySearchTree2.py;10.67;9.95;0.75
binarySearchTree3;binarySearchTree3.py;8.07;7.53;0.59
binarySearchTree4;binarySearchTree4.py;5.53;5.19;0.35
identifier1;identifier1.py;9.80;9.15;0.67
linkedList1;linkedList1.py;11.19;10.42;0.82
linkedList2;linkedList2.py;9.84;9.11;0.76
linkedList3;linkedList3.py;9.47;8.94;0.54
linkedList4;linkedList4.py;9.15;8.56;0.63
linkedList5;linkedList5.py;11.42;10.84;0.61
queue1;queue1.py;5.46;5.04;0.43
queue2;queue2.py;9.66;9.02;0.67
queue3;queue3.py;8.97;8.32;0.68
queue4;queue4.py;8.16;7.63;0.54
queue5;queue5.py;5.32;4.94;0.38
sort1;sort1.py;9.02;8.38;0.66
stack1;stack1.py;8.77;8.05;0.75
stack2;stack2.py;3.54;3.28;0.27
stack3;stack3.py;8.78;8.04;0.77
stack4;stack4.py;7.54;6.97;0.59
stack5;stack5.py;4.38;4.06;0.33
