project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;9.65;8.97;0.68
binarySearchTree2;binarySearchTree2.py;8.86;8.20;0.67
binarySearchTree3;binarySearchTree3.py;9.13;8.53;0.62
binarySearchTree4;binarySearchTree4.py;5.71;5.25;0.47
identifier1;identifier1.py;7.47;6.90;0.59
linkedList1;linkedList1.py;10.19;9.43;0.78
linkedList2;linkedList2.py;9.10;8.44;0.68
linkedList3;linkedList3.py;8.63;7.93;0.72
linkedList4;linkedList4.py;7.81;7.23;0.59
linkedList5;linkedList5.py;14.28;13.41;0.90
queue1;queue1.py;4.52;4.20;0.33
queue2;queue2.py;13.38;12.49;0.92
queue3;queue3.py;8.63;8.04;0.61
queue4;queue4.py;8.26;7.61;0.66
queue5;queue5.py;4.21;3.86;0.36
sort1;sort1.py;7.94;7.35;0.60
stack1;stack1.py;6.36;5.91;0.47
stack2;stack2.py;3.32;3.00;0.32
stack3;stack3.py;7.86;7.19;0.69
stack4;stack4.py;9.10;8.49;0.63
stack5;stack5.py;4.17;3.87;0.31
