project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;60.45;24.60;1.64
binarySearchTree2;binarySearchTree2.py;50.55;20.97;1.32
binarySearchTree3;binarySearchTree3.py;47.30;19.04;1.23
binarySearchTree4;binarySearchTree4.py;29.86;11.66;0.85
identifier1;identifier1.py;41.36;17.37;1.02
linkedList1;linkedList1.py;53.05;22.09;1.35
linkedList2;linkedList2.py;37.08;14.80;1.00
linkedList3;linkedList3.py;35.66;14.30;0.93
linkedList4;linkedList4.py;37.82;15.34;1.00
linkedList5;linkedList5.py;35.38;14.82;0.84
queue1;queue1.py;25.02;10.15;0.77
queue2;queue2.py;36.27;15.00;0.94
queue3;queue3.py;33.37;13.42;0.89
queue4;queue4.py;31.79;13.06;0.84
queue5;queue5.py;27.38;10.83;0.80
sort1;sort1.py;40.92;16.44;1.07
stack1;stack1.py;32.44;13.47;0.89
stack2;stack2.py;17.50;6.98;0.48
stack3;stack3.py;44.90;18.85;1.17
stack4;stack4.py;36.43;14.51;0.97
stack5;stack5.py;22.06;8.59;0.61
