project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;10.63;9.91;0.73
binarySearchTree2;binarySearchTree2.py;7.58;6.98;0.62
binarySearchTree3;binarySearchTree3.py;8.99;8.37;0.66
binarySearchTree4;binarySearchTree4.py;4.62;4.22;0.41
identifier1;identifier1.py;8.75;8.00;0.77
linkedList1;linkedList1.py;7.98;7.39;0.61
linkedList2;linkedList2.py;6.04;5.58;0.47
linkedList3;linkedList3.py;7.40;6.79;0.62
linkedList4;linkedList4.py;6.67;6.10;0.58
linkedList5;linkedList5.py;10.93;10.31;0.63
queue1;queue1.py;4.91;4.54;0.37
queue2;queue2.py;7.62;7.09;0.53
queue3;queue3.py;6.97;6.46;0.52
queue4;queue4.py;7.83;7.14;0.70
queue5;queue5.py;3.89;3.60;0.29
sort1;sort1.py;10.49;9.76;0.73
stack1;stack1.py;6.18;5.69;0.52
stack2;stack2.py;3.42;3.04;0.38
stack3;stack3.py;9.12;8.42;0.72
stack4;stack4.py;7.86;7.21;0.67
stack5;stack5.py;4.34;3.99;0.35
