project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;75.75;74.66;3.51
binarySearchTree2;binarySearchTree2.py;85.80;83.81;4.06
binarySearchTree3;binarySearchTree3.py;215.44;210.50;8.75
binarySearchTree4;binarySearchTree4.py;9.17;8.92;0.53
identifier1;identifier1.py;25.82;24.66;1.72
linkedList1;linkedList1.py;99.87;98.48;3.64
linkedList2;linkedList2.py;25.32;24.57;1.40
linkedList3;linkedList3.py;35.87;34.58;1.75
linkedList4;linkedList4.py;22.47;21.60;1.32
linkedList5;linkedList5.py;93.48;92.91;2.55
queue1;queue1.py;12.12;11.67;0.71
queue2;queue2.py;59.67;58.31;2.68
queue3;queue3.py;62.53;61.05;2.96
queue4;queue4.py;44.85;43.36;2.54
queue5;queue5.py;8.30;8.01;0.52
sort1;sort1.py;26.53;25.30;1.72
stack1;stack1.py;28.72;27.57;1.89
stack2;stack2.py;2.60;2.47;0.16
stack3;stack3.py;34.93;33.61;1.90
stack4;stack4.py;21.89;21.01;1.38
stack5;stack5.py;3.14;2.89;0.28
