project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;52.19;51.20;2.73
binarySearchTree2;binarySearchTree2.py;46.23;44.89;2.37
binarySearchTree3;binarySearchTree3.py;146.74;142.31;6.69
binarySearchTree4;binarySearchTree4.py;7.63;7.29;0.51
identifier1;identifier1.py;21.40;20.44;1.38
linkedList1;linkedList1.py;73.10;71.51;3.16
linkedList2;linkedList2.py;19.46;18.88;1.06
linkedList3;linkedList3.py;18.10;17.17;1.21
linkedList4;linkedList4.py;18.04;17.35;1.00
linkedList5;linkedList5.py;68.55;67.94;2.11
queue1;queue1.py;9.03;8.55;0.65
queue2;queue2.py;48.27;47.04;2.19
queue3;queue3.py;46.47;45.09;2.39
queue4;queue4.py;37.34;35.96;2.18
queue5;queue5.py;6.88;6.57;0.50
sort1;sort1.py;22.67;21.58;1.45
stack1;stack1.py;22.75;21.78;1.55
stack2;stack2.py;2.17;2.03;0.16
stack3;stack3.py;28.62;27.61;1.49
stack4;stack4.py;18.22;17.48;1.16
stack5;stack5.py;2.86;2.66;0.22
