project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;68.18;64.70;5.09
binarySearchTree2;binarySearchTree2.py;78.01;72.62;6.48
binarySearchTree3;binarySearchTree3.py;194.20;183.66;13.50
binarySearchTree4;binarySearchTree4.py;13.72;12.71;1.21
identifier1;identifier1.py;45.46;42.28;3.77
linkedList1;linkedList1.py;95.48;90.47;6.74
linkedList2;linkedList2.py;29.30;27.13;2.62
linkedList3;linkedList3.py;33.85;31.29;3.01
linkedList4;linkedList4.py;32.36;29.78;3.00
linkedList5;linkedList5.py;65.69;62.87;3.96
queue1;queue1.py;18.25;16.64;1.83
queue2;queue2.py;69.10;65.15;5.09
queue3;queue3.py;76.67;71.65;6.15
queue4;queue4.py;59.16;55.11;4.93
queue5;queue5.py;14.31;13.18;1.32
sort1;sort1.py;50.83;47.66;3.75
stack1;stack1.py;46.05;42.59;4.13
stack2;stack2.py;4.97;4.54;0.46
stack3;stack3.py;57.87;54.06;4.40
stack4;stack4.py;34.11;31.50;3.09
stack5;stack5.py;6.55;6.02;0.58
