project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;40.63;39.17;2.37
binarySearchTree2;binarySearchTree2.py;39.01;37.44;2.29
binarySearchTree3;binarySearchTree3.py;110.64;106.71;5.59
binarySearchTree4;binarySearchTree4.py;6.37;6.05;0.45
identifier1;identifier1.py;19.92;18.91;1.26
linkedList1;linkedList1.py;53.51;51.74;2.69
linkedList2;linkedList2.py;17.09;16.35;1.07
linkedList3;linkedList3.py;16.46;15.55;1.18
linkedList4;linkedList4.py;16.16;15.46;0.96
linkedList5;linkedList5.py;49.86;49.07;1.88
queue1;queue1.py;8.14;7.65;0.61
queue2;queue2.py;36.63;35.31;1.98
queue3;queue3.py;40.98;39.26;2.42
queue4;queue4.py;31.11;29.88;1.85
queue5;queue5.py;6.34;5.93;0.50
sort1;sort1.py;20.79;19.64;1.43
stack1;stack1.py;21.01;19.92;1.43
stack2;stack2.py;2.13;1.93;0.19
stack3;stack3.py;25.43;24.36;1.38
stack4;stack4.py;16.34;15.62;1.04
stack5;stack5.py;2.73;2.51;0.22
