project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;28.65;27.45;1.82
binarySearchTree2;binarySearchTree2.py;38.61;36.94;2.26
binarySearchTree3;binarySearchTree3.py;100.03;96.52;4.94
binarySearchTree4;binarySearchTree4.py;6.27;5.95;0.39
identifier1;identifier1.py;18.79;17.68;1.33
linkedList1;linkedList1.py;47.55;45.67;2.68
linkedList2;linkedList2.py;15.69;14.94;1.05
linkedList3;linkedList3.py;21.03;20.10;1.17
linkedList4;linkedList4.py;14.92;13.99;1.14
linkedList5;linkedList5.py;36.65;35.92;1.45
queue1;queue1.py;8.82;8.25;0.67
queue2;queue2.py;30.11;28.76;1.85
queue3;queue3.py;38.04;36.36;2.26
queue4;queue4.py;28.34;26.97;1.86
queue5;queue5.py;6.26;5.93;0.46
sort1;sort1.py;20.96;19.97;1.22
stack1;stack1.py;21.15;20.10;1.46
stack2;stack2.py;2.20;2.04;0.17
stack3;stack3.py;23.32;22.34;1.26
stack4;stack4.py;15.26;14.40;1.05
stack5;stack5.py;2.76;2.56;0.21
