project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;85.43;81.51;4.18
binarySearchTree2;binarySearchTree2.py;44.21;40.66;3.97
binarySearchTree3;binarySearchTree3.py;191.91;182.31;10.53
binarySearchTree4;binarySearchTree4.py;5.16;4.48;0.74
identifier1;identifier1.py;10.21;8.86;1.51
linkedList1;linkedList1.py;52.23;48.95;3.65
linkedList2;linkedList2.py;26.69;25.05;1.82
linkedList3;linkedList3.py;22.55;20.77;2.02
linkedList4;linkedList4.py;31.75;30.32;1.59
linkedList5;linkedList5.py;59.17;54.05;5.38
queue1;queue1.py;5.44;4.77;0.76
queue2;queue2.py;52.00;49.19;3.15
queue3;queue3.py;38.67;35.14;3.93
queue4;queue4.py;38.93;36.14;3.09
queue5;queue5.py;3.76;3.30;0.51
sort1;sort1.py;19.79;18.34;1.64
stack1;stack1.py;15.37;13.68;1.89
stack2;stack2.py;2.64;2.22;0.46
stack3;stack3.py;29.29;26.98;2.62
stack4;stack4.py;33.81;32.11;1.90
stack5;stack5.py;2.95;2.56;0.43
