project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;91.78;87.40;4.64
binarySearchTree2;binarySearchTree2.py;58.54;54.38;4.60
binarySearchTree3;binarySearchTree3.py;270.16;257.23;13.45
binarySearchTree4;binarySearchTree4.py;6.62;5.83;0.88
identifier1;identifier1.py;13.57;11.93;1.83
linkedList1;linkedList1.py;66.44;62.11;4.57
linkedList2;linkedList2.py;38.80;36.40;2.51
linkedList3;linkedList3.py;27.00;24.79;2.50
linkedList4;linkedList4.py;34.60;32.72;2.11
linkedList5;linkedList5.py;70.89;65.28;5.81
queue1;queue1.py;9.09;8.08;1.13
queue2;queue2.py;65.67;61.47;4.74
queue3;queue3.py;51.40;47.13;4.64
queue4;queue4.py;47.52;43.71;4.12
queue5;queue5.py;4.94;4.21;0.79
sort1;sort1.py;29.57;27.24;2.49
stack1;stack1.py;24.43;22.03;2.64
stack2;stack2.py;4.05;3.45;0.66
stack3;stack3.py;64.06;60.12;4.31
stack4;stack4.py;41.01;38.59;2.67
stack5;stack5.py;5.30;4.79;0.58
