project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;85.29;81.89;3.79
binarySearchTree2;binarySearchTree2.py;44.47;41.11;3.80
binarySearchTree3;binarySearchTree3.py;188.74;179.15;10.55
binarySearchTree4;binarySearchTree4.py;4.97;4.35;0.70
identifier1;identifier1.py;10.31;8.84;1.63
linkedList1;linkedList1.py;50.51;47.19;3.71
linkedList2;linkedList2.py;31.53;29.92;1.83
linkedList3;linkedList3.py;22.42;20.79;1.87
linkedList4;linkedList4.py;31.47;30.07;1.57
linkedList5;linkedList5.py;58.89;53.83;5.33
queue1;queue1.py;5.46;4.79;0.75
queue2;queue2.py;55.92;52.65;3.72
queue3;queue3.py;37.57;34.37;3.60
queue4;queue4.py;37.47;34.80;3.00
queue5;queue5.py;3.76;3.20;0.62
sort1;sort1.py;19.31;17.74;1.78
stack1;stack1.py;15.12;13.52;1.81
stack2;stack2.py;2.68;2.35;0.38
stack3;stack3.py;53.13;50.32;3.21
stack4;stack4.py;33.22;31.53;1.90
stack5;stack5.py;2.96;2.52;0.48
