project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;86.78;83.00;4.08
binarySearchTree2;binarySearchTree2.py;45.81;42.27;3.96
binarySearchTree3;binarySearchTree3.py;199.04;189.79;10.16
binarySearchTree4;binarySearchTree4.py;5.36;4.72;0.72
identifier1;identifier1.py;10.89;9.61;1.45
linkedList1;linkedList1.py;52.42;49.09;3.70
linkedList2;linkedList2.py;31.65;30.13;1.72
linkedList3;linkedList3.py;23.08;21.22;2.10
linkedList4;linkedList4.py;31.86;30.50;1.53
linkedList5;linkedList5.py;64.86;59.54;5.60
queue1;queue1.py;6.20;5.48;0.81
queue2;queue2.py;57.69;54.42;3.67
queue3;queue3.py;40.93;37.53;3.80
queue4;queue4.py;34.27;31.53;3.05
queue5;queue5.py;4.25;3.57;0.74
sort1;sort1.py;19.95;18.41;1.74
stack1;stack1.py;15.76;14.27;1.70
stack2;stack2.py;2.74;2.38;0.40
stack3;stack3.py;29.74;27.38;2.67
stack4;stack4.py;33.90;32.16;1.94
stack5;stack5.py;3.21;2.75;0.50
