project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;122.12;112.77;10.26
binarySearchTree2;binarySearchTree2.py;85.53;76.77;9.74
binarySearchTree3;binarySearchTree3.py;336.26;314.68;23.74
binarySearchTree4;binarySearchTree4.py;11.70;10.00;1.88
identifier1;identifier1.py;23.14;19.48;4.07
linkedList1;linkedList1.py;84.13;75.94;9.05
linkedList2;linkedList2.py;44.10;40.11;4.44
linkedList3;linkedList3.py;35.67;31.62;4.53
linkedList4;linkedList4.py;44.00;40.37;4.04
linkedList5;linkedList5.py;82.00;73.32;9.26
queue1;queue1.py;12.58;10.48;2.31
queue2;queue2.py;81.58;74.26;8.11
queue3;queue3.py;71.34;62.90;9.34
queue4;queue4.py;65.22;58.35;7.63
queue5;queue5.py;8.40;7.07;1.48
sort1;sort1.py;34.10;30.02;4.55
stack1;stack1.py;30.71;26.24;4.97
stack2;stack2.py;6.04;5.02;1.13
stack3;stack3.py;48.27;42.49;6.42
stack4;stack4.py;48.36;44.05;4.76
stack5;stack5.py;6.52;5.57;1.06
