project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;83.76;80.08;4.00
binarySearchTree2;binarySearchTree2.py;42.54;39.21;3.76
binarySearchTree3;binarySearchTree3.py;190.00;180.88;10.02
binarySearchTree4;binarySearchTree4.py;4.90;4.26;0.72
identifier1;identifier1.py;9.36;8.17;1.36
linkedList1;linkedList1.py;49.51;46.61;3.26
linkedList2;linkedList2.py;31.20;29.50;1.88
linkedList3;linkedList3.py;22.20;20.49;1.95
linkedList4;linkedList4.py;31.27;29.86;1.58
linkedList5;linkedList5.py;58.21;53.05;5.43
queue1;queue1.py;5.15;4.45;0.79
queue2;queue2.py;50.54;47.95;2.93
queue3;queue3.py;38.00;34.82;3.58
queue4;queue4.py;32.83;30.15;3.01
queue5;queue5.py;3.69;3.19;0.55
sort1;sort1.py;18.79;17.37;1.62
stack1;stack1.py;14.67;13.07;1.82
stack2;stack2.py;2.56;2.21;0.39
stack3;stack3.py;28.49;26.22;2.57
stack4;stack4.py;33.40;31.80;1.79
stack5;stack5.py;2.81;2.44;0.41
