project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;92.98;83.15;10.80
binarySearchTree2;binarySearchTree2.py;88.46;79.45;10.09
binarySearchTree3;binarySearchTree3.py;336.92;314.49;24.81
binarySearchTree4;binarySearchTree4.py;11.14;9.43;1.92
identifier1;identifier1.py;23.58;19.77;4.24
linkedList1;linkedList1.py;83.08;74.88;9.13
linkedList2;linkedList2.py;39.74;35.71;4.48
linkedList3;linkedList3.py;36.54;32.38;4.66
linkedList4;linkedList4.py;44.95;40.94;4.43
linkedList5;linkedList5.py;76.14;67.73;9.01
queue1;queue1.py;12.68;10.48;2.42
queue2;queue2.py;78.11;70.51;8.38
queue3;queue3.py;71.35;63.26;9.03
queue4;queue4.py;61.26;54.20;7.83
queue5;queue5.py;8.59;7.25;1.49
sort1;sort1.py;34.65;30.63;4.50
stack1;stack1.py;30.54;26.34;4.70
stack2;stack2.py;5.92;4.94;1.09
stack3;stack3.py;49.04;43.32;6.38
stack4;stack4.py;48.83;44.58;4.72
stack5;stack5.py;6.33;5.25;1.20
