project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;82.39;78.82;3.91
binarySearchTree2;binarySearchTree2.py;42.07;38.64;3.87
binarySearchTree3;binarySearchTree3.py;182.09;173.32;9.74
binarySearchTree4;binarySearchTree4.py;4.98;4.35;0.71
identifier1;identifier1.py;9.49;8.10;1.56
linkedList1;linkedList1.py;49.13;46.05;3.47
linkedList2;linkedList2.py;31.12;29.41;1.90
linkedList3;linkedList3.py;21.89;20.19;1.94
linkedList4;linkedList4.py;30.89;29.42;1.65
linkedList5;linkedList5.py;61.81;57.01;5.08
queue1;queue1.py;5.44;4.68;0.84
queue2;queue2.py;54.39;50.86;4.04
queue3;queue3.py;36.95;33.71;3.65
queue4;queue4.py;36.82;34.28;2.88
queue5;queue5.py;3.74;3.18;0.62
sort1;sort1.py;18.66;17.30;1.57
stack1;stack1.py;14.78;13.25;1.74
stack2;stack2.py;2.58;2.22;0.41
stack3;stack3.py;52.62;49.83;3.18
stack4;stack4.py;32.78;31.22;1.77
stack5;stack5.py;2.91;2.47;0.49
