Operador,Mortos,Vivos
AddNot,49,0
ExceptionReplacer,3,0
NumberReplacer,49,3
ReplaceAndWithOr,4,0
ReplaceBinaryOperator_Sub_Add,1,0
ReplaceBinaryOperator_Sub_BitAnd,1,0
ReplaceBinaryOperator_Sub_BitOr,1,0
ReplaceBinaryOperator_Sub_BitXor,1,0
ReplaceBinaryOperator_Sub_Div,1,0
ReplaceBinaryOperator_Sub_FloorDiv,1,0
ReplaceBinaryOperator_Sub_LShift,1,0
ReplaceBinaryOperator_Sub_Mod,1,0
ReplaceBinaryOperator_Sub_Mul,1,0
ReplaceBinaryOperator_Sub_Pow,1,0
ReplaceBinaryOperator_Sub_RShift,1,0
ReplaceBreakWithContinue,1,0
ReplaceComparisonOperator_Eq_Gt,8,0
ReplaceComparisonOperator_Eq_GtE,8,0
ReplaceComparisonOperator_Eq_Is,0,6
ReplaceComparisonOperator_Eq_IsNot,6,0
ReplaceComparisonOperator_Eq_Lt,8,0
ReplaceComparisonOperator_Eq_LtE,5,3
ReplaceComparisonOperator_Eq_NotEq,8,0
ReplaceComparisonOperator_Gt_Eq,1,0
ReplaceComparisonOperator_Gt_GtE,1,0
ReplaceComparisonOperator_Gt_Is,1,0
ReplaceComparisonOperator_Gt_IsNot,0,1
ReplaceComparisonOperator_Gt_Lt,1,0
ReplaceComparisonOperator_Gt_LtE,1,0
ReplaceComparisonOperator_Gt_NotEq,0,1
ReplaceComparisonOperator_IsNot_Eq,2,0
ReplaceComparisonOperator_IsNot_Gt,2,0
ReplaceComparisonOperator_IsNot_GtE,2,0
ReplaceComparisonOperator_IsNot_Is,3,0
ReplaceComparisonOperator_IsNot_Lt,2,0
ReplaceComparisonOperator_IsNot_LtE,2,0
ReplaceComparisonOperator_IsNot_NotEq,0,2
ReplaceComparisonOperator_Is_Eq,0,3
ReplaceComparisonOperator_Is_Gt,3,0
ReplaceComparisonOperator_Is_GtE,3,0
ReplaceComparisonOperator_Is_IsNot,3,0
ReplaceComparisonOperator_Is_Lt,3,0
ReplaceComparisonOperator_Is_LtE,3,0
ReplaceComparisonOperator_Is_NotEq,3,0
ReplaceComparisonOperator_LtE_Eq,0,1
ReplaceComparisonOperator_LtE_Gt,1,0
ReplaceComparisonOperator_LtE_GtE,1,0
ReplaceComparisonOperator_LtE_Is,0,1
ReplaceComparisonOperator_LtE_IsNot,1,0
ReplaceComparisonOperator_LtE_Lt,1,0
ReplaceComparisonOperator_LtE_NotEq,1,0
ReplaceComparisonOperator_Lt_Eq,8,0
ReplaceComparisonOperator_Lt_Gt,8,0
ReplaceComparisonOperator_Lt_GtE,8,0
ReplaceComparisonOperator_Lt_Is,2,0
ReplaceComparisonOperator_Lt_IsNot,2,0
ReplaceComparisonOperator_Lt_LtE,7,1
ReplaceComparisonOperator_Lt_NotEq,8,0
ReplaceOrWithAnd,2,0
ReplaceTrueWithFalse,1,0
ReplaceUnaryOperator_Delete_Not,14,0
ZeroIterationForLoop,8,0
