Operador,Mortos,Vivos
AddNot,9,0
NumberReplacer,27,1
RemoveDecorator,6,0
ReplaceAndWithOr,2,0
ReplaceBinaryOperator_Add_BitAnd,2,0
ReplaceBinaryOperator_Add_BitOr,1,1
ReplaceBinaryOperator_Add_BitXor,2,0
ReplaceBinaryOperator_Add_Div,2,0
ReplaceBinaryOperator_Add_FloorDiv,1,1
ReplaceBinaryOperator_Add_LShift,2,0
ReplaceBinaryOperator_Add_Mod,2,0
ReplaceBinaryOperator_Add_Mul,1,1
ReplaceBinaryOperator_Add_Pow,1,1
ReplaceBinaryOperator_Add_RShift,2,0
ReplaceBinaryOperator_Add_Sub,2,0
ReplaceBinaryOperator_FloorDiv_Add,1,0
ReplaceBinaryOperator_FloorDiv_BitAnd,1,0
ReplaceBinaryOperator_FloorDiv_BitOr,1,0
ReplaceBinaryOperator_FloorDiv_BitXor,1,0
ReplaceBinaryOperator_FloorDiv_Div,1,0
ReplaceBinaryOperator_FloorDiv_LShift,1,0
ReplaceBinaryOperator_FloorDiv_Mod,1,0
ReplaceBinaryOperator_FloorDiv_Mul,1,0
ReplaceBinaryOperator_FloorDiv_Pow,1,0
ReplaceBinaryOperator_FloorDiv_RShift,1,0
ReplaceBinaryOperator_FloorDiv_Sub,1,0
ReplaceBinaryOperator_Sub_Add,4,0
ReplaceBinaryOperator_Sub_BitAnd,4,0
ReplaceBinaryOperator_Sub_BitOr,4,0
ReplaceBinaryOperator_Sub_BitXor,4,0
ReplaceBinaryOperator_Sub_Div,4,0
ReplaceBinaryOperator_Sub_FloorDiv,4,0
ReplaceBinaryOperator_Sub_LShift,4,0
ReplaceBinaryOperator_Sub_Mod,4,0
ReplaceBinaryOperator_Sub_Mul,4,0
ReplaceBinaryOperator_Sub_Pow,4,0
ReplaceBinaryOperator_Sub_RShift,4,0
ReplaceComparisonOperator_Gt_Eq,2,0
ReplaceComparisonOperator_Gt_GtE,1,1
ReplaceComparisonOperator_Gt_Is,1,0
ReplaceComparisonOperator_Gt_IsNot,1,0
ReplaceComparisonOperator_Gt_Lt,2,0
ReplaceComparisonOperator_Gt_LtE,2,0
ReplaceComparisonOperator_Gt_NotEq,1,1
ReplaceComparisonOperator_LtE_Eq,2,0
ReplaceComparisonOperator_LtE_Gt,2,0
ReplaceComparisonOperator_LtE_GtE,2,0
ReplaceComparisonOperator_LtE_Is,1,0
ReplaceComparisonOperator_LtE_IsNot,1,0
ReplaceComparisonOperator_LtE_Lt,1,1
ReplaceComparisonOperator_LtE_NotEq,2,0
ReplaceComparisonOperator_Lt_Eq,5,0
ReplaceComparisonOperator_Lt_Gt,5,0
ReplaceComparisonOperator_Lt_GtE,5,0
ReplaceComparisonOperator_Lt_Is,5,0
ReplaceComparisonOperator_Lt_IsNot,3,2
ReplaceComparisonOperator_Lt_LtE,4,1
ReplaceComparisonOperator_Lt_NotEq,3,2
ZeroIterationForLoop,4,0
