Operador,Mortos,Vivos
AddNot,9,0
ExceptionReplacer,3,0
NumberReplacer,10,0
ReplaceBinaryOperator_Add_BitAnd,1,0
ReplaceBinaryOperator_Add_BitOr,1,0
ReplaceBinaryOperator_Add_BitXor,1,0
ReplaceBinaryOperator_Add_Div,1,0
ReplaceBinaryOperator_Add_FloorDiv,1,0
ReplaceBinaryOperator_Add_LShift,1,0
ReplaceBinaryOperator_Add_Mod,1,0
ReplaceBinaryOperator_Add_Mul,1,0
ReplaceBinaryOperator_Add_Pow,1,0
ReplaceBinaryOperator_Add_RShift,1,0
ReplaceBinaryOperator_Add_Sub,1,0
ReplaceBinaryOperator_Div_Add,1,0
ReplaceBinaryOperator_Div_BitAnd,1,0
ReplaceBinaryOperator_Div_BitOr,1,0
ReplaceBinaryOperator_Div_BitXor,1,0
ReplaceBinaryOperator_Div_FloorDiv,1,0
ReplaceBinaryOperator_Div_LShift,1,0
ReplaceBinaryOperator_Div_Mod,1,0
ReplaceBinaryOperator_Div_Mul,1,0
ReplaceBinaryOperator_Div_Pow,1,0
ReplaceBinaryOperator_Div_RShift,1,0
ReplaceBinaryOperator_Div_Sub,1,0
ReplaceBinaryOperator_Mod_Add,1,0
ReplaceBinaryOperator_Mod_BitAnd,1,0
ReplaceBinaryOperator_Mod_BitOr,1,0
ReplaceBinaryOperator_Mod_BitXor,1,0
ReplaceBinaryOperator_Mod_Div,1,0
ReplaceBinaryOperator_Mod_FloorDiv,1,0
ReplaceBinaryOperator_Mod_LShift,1,0
ReplaceBinaryOperator_Mod_Mul,1,0
ReplaceBinaryOperator_Mod_Pow,1,0
ReplaceBinaryOperator_Mod_RShift,1,0
ReplaceBinaryOperator_Mod_Sub,1,0
ReplaceBinaryOperator_Mul_Add,1,0
ReplaceBinaryOperator_Mul_BitAnd,1,0
ReplaceBinaryOperator_Mul_BitOr,1,0
ReplaceBinaryOperator_Mul_BitXor,1,0
ReplaceBinaryOperator_Mul_Div,1,0
ReplaceBinaryOperator_Mul_FloorDiv,1,0
ReplaceBinaryOperator_Mul_LShift,1,0
ReplaceBinaryOperator_Mul_Mod,1,0
ReplaceBinaryOperator_Mul_Pow,1,0
ReplaceBinaryOperator_Mul_RShift,1,0
ReplaceBinaryOperator_Mul_Sub,1,0
ReplaceBinaryOperator_Pow_Add,1,0
ReplaceBinaryOperator_Pow_BitAnd,1,0
ReplaceBinaryOperator_Pow_BitOr,1,0
ReplaceBinaryOperator_Pow_BitXor,1,0
ReplaceBinaryOperator_Pow_Div,1,0
ReplaceBinaryOperator_Pow_FloorDiv,1,0
ReplaceBinaryOperator_Pow_LShift,1,0
ReplaceBinaryOperator_Pow_Mod,1,0
ReplaceBinaryOperator_Pow_Mul,1,0
ReplaceBinaryOperator_Pow_RShift,1,0
ReplaceBinaryOperator_Pow_Sub,1,0
ReplaceBinaryOperator_Sub_Add,1,0
ReplaceBinaryOperator_Sub_BitAnd,1,0
ReplaceBinaryOperator_Sub_BitOr,1,0
ReplaceBinaryOperator_Sub_BitXor,1,0
ReplaceBinaryOperator_Sub_Div,1,0
ReplaceBinaryOperator_Sub_FloorDiv,1,0
ReplaceBinaryOperator_Sub_LShift,1,0
ReplaceBinaryOperator_Sub_Mod,1,0
ReplaceBinaryOperator_Sub_Mul,1,0
ReplaceBinaryOperator_Sub_Pow,1,0
ReplaceBinaryOperator_Sub_RShift,1,0
ReplaceComparisonOperator_Gt_Eq,1,0
ReplaceComparisonOperator_Gt_GtE,1,0
ReplaceComparisonOperator_Gt_Lt,1,0
ReplaceComparisonOperator_Gt_LtE,1,0
ReplaceComparisonOperator_Gt_NotEq,0,1
ReplaceComparisonOperator_Is_IsNot,3,0
ReplaceComparisonOperator_NotEq_Eq,2,0
ReplaceComparisonOperator_NotEq_Gt,1,1
ReplaceComparisonOperator_NotEq_GtE,2,0
ReplaceComparisonOperator_NotEq_Is,1,0
ReplaceComparisonOperator_NotEq_IsNot,0,1
ReplaceComparisonOperator_NotEq_Lt,2,0
ReplaceComparisonOperator_NotEq_LtE,2,0
ReplaceFalseWithTrue,3,0
ReplaceTrueWithFalse,1,0
ZeroIterationForLoop,2,0
